Date,Open,High,Low,Close,Adj Close,Volume
2019-01-09,55.709999,56.740002,55.610001,56.380001,55.628338,19359100
2019-01-10,55.990002,56.959999,55.700001,56.439999,55.687534,16910000
2019-01-11,56.459999,57.419998,56.029999,56.689999,55.934200,23087500
2019-01-14,56.099998,59.299999,55.700001,58.930000,58.144337,34783400
2019-01-15,59.889999,61.820000,59.549999,61.380001,60.561676,42694200
2019-01-16,61.950001,62.820000,61.240002,62.189999,61.360874,27628900
2019-01-17,61.630001,62.750000,61.330002,62.470001,61.637142,22728900
2019-01-18,62.860001,63.189999,62.009998,63.119999,62.278473,19947300
2019-01-22,62.669998,62.810001,61.430000,61.849998,61.025410,24608700
2019-01-23,62.270000,62.480000,61.150002,62.130001,61.301674,16819800
2019-01-24,61.740002,62.919998,61.740002,62.709999,61.873943,14962200
2019-01-25,63.330002,64.449997,63.230000,64.019997,63.166473,15827200
2019-01-28,63.189999,64.059998,63.099998,63.849998,62.998741,12683500
2019-01-29,63.709999,64.070000,63.150002,63.209999,62.367279,13472000
2019-01-30,63.459999,64.739998,62.990002,64.220001,63.363811,15929600
2019-01-31,63.650002,64.599998,63.639999,64.459999,63.600609,19442600
2019-02-01,64.250000,64.660004,63.590000,63.669998,63.262783,16991700
2019-02-04,63.500000,64.059998,63.200001,64.059998,63.650288,11515500
2019-02-05,64.190002,64.199997,63.349998,63.810001,63.401894,13310900
2019-02-06,63.830002,64.610001,63.560001,63.889999,63.481377,13774300
2019-02-07,63.610001,63.630001,61.910000,62.810001,62.408287,17922400
2019-02-08,62.130001,62.520000,61.009998,62.009998,61.613400,15770800
2019-02-11,62.410000,62.430000,61.419998,61.610001,61.215961,14614100
2019-02-12,62.150002,63.340000,62.150002,62.669998,62.269180,14347400
2019-02-13,63.299999,63.750000,62.970001,63.040001,62.636818,10710500
2019-02-14,62.349998,62.860001,61.419998,62.419998,62.020779,12855300
2019-02-15,63.139999,64.580002,63.009998,64.269997,63.858944,17908900
2019-02-19,63.730000,64.650002,63.520000,64.379997,63.968243,11013900
2019-02-20,64.500000,64.699997,64.139999,64.639999,64.226578,10545000
2019-02-21,64.550003,64.940002,64.040001,64.320000,63.908627,10696100
2019-02-22,64.629997,65.139999,63.840000,64.139999,63.729778,14003800
2019-02-25,64.589996,65.430000,64.449997,64.529999,64.117287,12853000
